"","chicago-house","dancehall","detroit-techno","hip-hop","kids","latin","latino","minimal-techno","reggae","reggaeton","class.error"
"chicago-house",466,13,163,7,35,7,0,89,1,0,0.403329065300896
"dancehall",10,500,1,89,100,35,18,3,24,13,0.369482976040353
"detroit-techno",207,6,427,2,10,1,0,151,1,0,0.469565217391304
"hip-hop",10,164,5,350,102,70,49,8,35,20,0.56949569495695
"kids",32,99,5,87,494,36,4,7,13,7,0.369897959183674
"latin",7,31,5,73,40,225,268,2,112,58,0.725943970767357
"latino",3,32,3,57,35,268,69,2,178,158,0.914285714285714
"minimal-techno",100,0,143,4,7,0,0,539,0,0,0.320302648171501
"reggae",3,28,0,65,58,190,209,0,82,180,0.899386503067485
"reggaeton",1,20,0,35,14,192,278,0,229,21,0.973417721518987
