"","chicago-house","dancehall","detroit-techno","hip-hop","kids","latin","latino","minimal-techno","reggae","reggaeton","class.error"
"chicago-house",473,10,158,9,33,9,0,87,2,0,0.394366197183099
"dancehall",8,500,1,101,98,28,18,3,21,15,0.369482976040353
"detroit-techno",211,6,421,4,10,1,0,151,1,0,0.477018633540373
"hip-hop",9,173,6,349,98,74,46,7,31,20,0.570725707257073
"kids",30,102,7,92,488,31,5,7,15,7,0.377551020408163
"latin",8,32,5,64,44,220,271,2,110,65,0.732034104750305
"latino",4,34,2,52,32,252,68,2,172,187,0.915527950310559
"minimal-techno",99,0,143,5,6,0,0,540,0,0,0.319041614123581
"reggae",3,31,0,51,55,167,216,0,102,190,0.874846625766871
"reggaeton",1,20,0,33,18,183,279,0,233,23,0.970886075949367
